id,address,bedrooms,bathrooms,monthly_price,ber,category,daft_link,agent_name,has_video,has_virtual_tour,total_images,dublin_subcode
6223204,"Lansdowne Place, Lansdowne Road, Dublin 4",2.0,2.0,6000,A2,Rent,http://www.daft.ie/for-rent/apartment-the-nicholson-lansdowne-place-lansdowne-road-dublin-4/6223204,Eileen Sheehy,True,False,13,4.0
6222846,"Lansdowne Place, Lansdowne Road, Dublin 4",2.0,2.0,6250,A2,Rent,http://www.daft.ie/for-rent/apartment-the-barrington-lansdowne-place-lansdowne-road-dublin-4/6222846,Eileen Sheehy,True,False,24,4.0
6222705,"Lansdowne Place, Lansdowne Road, Dublin 4",2.0,2.0,10000,A2,Rent,http://www.daft.ie/for-rent/apartment-the-nicholson-lansdowne-place-lansdowne-road-dublin-4/6222705,Eileen Sheehy,True,False,11,4.0
6222801,"Lansdowne Place, Lansdowne Road, Dublin 4",3.0,2.0,13441,A2,Rent,http://www.daft.ie/for-rent/apartment-the-burbidge-lansdowne-place-lansdowne-road-dublin-4/6222801,Eileen Sheehy,True,False,41,4.0
6105825,"Easra Court , Collins Avenue, Killester, Dublin 5",1.0,1.0,2075,A3,Rent,http://www.daft.ie/for-rent/apartment-1-bedroom-apartment-easra-court-collins-avenue-killester-dublin-5/6105825,Easra Court,False,True,18,5.0
6105826,"Easra Court , Collins Avenue, Killester, Dublin 5",2.0,2.0,2575,A3,Rent,http://www.daft.ie/for-rent/apartment-2-bedroom-apartment-easra-court-collins-avenue-killester-dublin-5/6105826,Easra Court,False,True,31,5.0
6035838,"Mayor Square, Mayor Street Lower, IFSC, Dublin 1, Dublin 1",1.0,,1071,,Rent,http://www.daft.ie/for-rent/mayor-square-mayor-street-lower-ifsc-dublin-1-ifsc-dublin-1/6035838,StudentHouse,False,False,9,1.0
4678956,"Spencer Place, Spencer Place, Dublin 1",1.0,,2360,A3,Rent,http://www.daft.ie/for-rent/studio-apartment--studio-spencer-place-spencer-place-dublin-1/4678956,Spencer Place,False,False,30,1.0
4097381,"Spencer Place, Spencer Place, Dublin 1",1.0,1.0,2375,A3,Rent,http://www.daft.ie/for-rent/apartment-1-bedroom-apartment-spencer-place-spencer-place-dublin-1/4097381,Spencer Place,True,True,43,1.0
5629690,"Spencer Place, Spencer Place, Dublin 1",2.0,1.0,3100,A3,Rent,http://www.daft.ie/for-rent/apartment-2-bedroom-apartment-spencer-place-spencer-place-dublin-1/5629690,Spencer Place,False,False,10,1.0
3652524,"Hali, Cherrywood, Dublin 18, Cherrywood, Co. Dublin",1.0,,1950,A2,Rent,http://www.daft.ie/for-rent/studio-apartment-studio-apartment-hali-cherrywood-dublin-18-cherrywood-co-dublin/3652524,The Hali Leasing Team.,False,True,28,18.0
3652560,"Hali, Cherrywood, Dublin 18, Cherrywood, Co. Dublin",1.0,1.0,2200,A2,Rent,http://www.daft.ie/for-rent/apartment-1-bedroom-apartment-hali-cherrywood-dublin-18-cherrywood-co-dublin/3652560,The Hali Leasing Team.,False,True,24,18.0
5876745,"Hali, Cherrywood, Dublin 18, Cherrywood, Co. Dublin",2.0,2.0,2575,A2,Rent,http://www.daft.ie/for-rent/apartment-2-bed-apartment-hali-cherrywood-dublin-18-cherrywood-co-dublin/5876745,The Hali Leasing Team.,False,False,21,18.0
